cldae taxa	clade sizde	label	runtime	nodal dist
7146,6776,2448,3029,2335,294,4487,8712,624,3660,6215,7127,7425,974,8423,4653,8676,1252,7460,536,4785,3982,7576,6464,8601,3093,456,7862,3128,7443,5576,2370,2274,762,2523,7024,1525,5089,252,8386,1857,8495,7116,6911,245,5197,4387,1818,3763,8059,2396,3113,5215,3498,6321,6546,7722,1929,8213,3281,8737,1798,2476,6529,584,7263,4956,3965,1328,2548,7440,2061,3940,3036,8390,4547,3619,126,3124,5079,6612,7677,4045,1704,2454,7950	86	I269	11.519622564315796	0
9593,9964,9283,8887,8848,9423,9070	7	I52	13.369783878326416	0
963,1924	2	I405	13.479247093200684	0
5081,8223	2	I136	13.447744846343994	0
4048	1	4048	13.577187776565552	0
1204,1863	2	I207	13.452060461044312	0
4387,1818	2	I311	13.467457056045532	0
1252,7460,536	3	I337	13.467286825180054	0
2075,7412,284,4238,4981,8321,7173,6395,2157,5713,3448,4222	12	I237	13.242053270339966	3
5868,8267,1908,6677,7494	5	I232	13.411447763442993	0
1929	1	1929	13.538160562515259	0
3948	1	3948	13.512610912322998	0
4385,759	2	I65	13.496381521224976	1
3918	1	3918	13.534140586853027	0
3987	1	3987	13.495042085647583	0
6529,584	2	I295	13.456889152526855	0
5713	1	5713	13.547344207763672	0
4635	1	4635	13.47788143157959	0
3416	1	3416	13.523647546768188	0
5220,7641,6791	3	I427	13.4703688621521	0
6263	1	6263	13.522313356399536	0
4738	1	4738	13.486262083053589	0
6497	1	6497	13.517281770706177	0
3036	1	3036	13.51300311088562	0
9593,9964,9283,8887,8848,9423	6	I53	13.361674308776855	0
4497	1	4497	13.49526071548462	0
3270,53,7336,8262	4	I161	13.435638427734375	0
8960	1	8960	13.500712156295776	0
4401	1	4401	13.526994466781616	0
5624,6165,674,3914,2834,5609,7016,1043,1247,332,3392,4471	12	I89	13.256006479263306	3
8785	1	8785	13.494586944580078	0
4513	1	4513	13.508870363235474	0
4136,4172,6830,6522,57,3037,6262,7365,6031,2056,1943,5459,8774,2738,6567,6060,2031,1576,712,8582,6594,5711,7868,5744,1677,2503,394,5892,5930,4259,585,5897,2349,8005,8445,5653,4301,7939,7784,4103,3005,6310,4554,7559,4640,765,4725,7608,7202,1256,5443,6526,874,2673,4497,5220,7641,6791,4515,1864,8777,3987,6250,3534,3407,7626,5231,5796,7219,4887,369,1862,6263,4284,1542,6221,7717,2501,1183,963,1924,1405,6143,6237,4747,5007,6481,3255,1231,6362,7368,3004,6787,6581,4730,7196,3195,4072,8803,510,2737	101	I381	11.178043127059937	0
7146	1	7146	13.495145082473755	0
3281	1	3281	13.499741792678833	0
874,2673	2	I430	13.473244428634644	0
3448	1	3448	13.542402029037476	0
1333	1	1333	13.4939866065979	0
3416,2981,4513,6102,2118	5	I223	13.411560773849487	0
4747,5007	2	I401	13.455241918563843	0
456	1	456	13.548035860061646	0
1256	1	1256	13.493865728378296	4
4653	1	4653	13.517406225204468	0
4637	1	4637	13.524906396865845	0
7538,1313,8722,374,3817,7859,2205	7	I374	13.396204710006714	0
4103,3005,6310,4554,7559,4640	6	I440	13.363951921463013	0
9116	1	9116	13.485377073287964	0
369	1	369	13.503076314926147	0
3113,5215,3498,6321,6546,7722,1929,8213,3281,8737,1798,2476,6529,584,7263,4956,3965,1328,2548	19	I288	13.084024906158447	0
5441,3684,831,1472,4941,1332,6801	7	I189	13.369053363800049	0
9682	1	9682	13.486166715621948	0
8774	1	8774	13.532061338424683	0
8587	1	8587	13.506619930267334	0
6270	1	6270	13.495365619659424	0
129,3334,3630,675,7366,8785,7586,7015	8	I215	13.409262895584106	0
765	1	765	13.524104833602905	0
1313	1	1313	13.492532968521118	0
7146,6776,2448,3029,2335,294,4487,8712,624,3660,6215	11	I344	13.25812578201294	0
8887	1	8887	13.527717113494873	0
4136,4172	2	I480	13.437686920166016	0
5624	1	5624	13.489324808120728	0
1358	1	1358	13.537281036376953	0
8223	1	8223	13.476754426956177	0
